city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
evansville,in,United States,formation,600.0,10 minutes+,10/31/2008,37.9747222,-87.5558333,10/10/2008,04:50
albany,ny,United States,oval,45.0,45 seconds,10/31/2008,42.6525,-73.7566667,10/10/2008,06:00
fremont,ca,United States,triangle,60.0,1 minute,10/31/2008,37.5483333,-121.9875,10/10/2008,10:22
yuma,az,United States,triangle,900.0,15 minutes,10/10/2011,32.7252778,-114.6236111,10/10/2008,18:00
south bend,in,United States,light,600.0,10 minutes,10/31/2008,41.6833333,-86.25,10/10/2008,19:00
la crescent,mn,United States,formation,10.0,10 seconds,10/31/2008,43.8280556,-91.3038889,10/10/2008,20:00
moon township,pa,United States,unknown,120.0,2 minutes,10/31/2008,40.516977,-80.221348,10/10/2008,20:00
philadelphia,pa,United States,oval,60.0,1 minute,7/4/2012,39.9522222,-75.1641667,10/10/2008,20:00
seattle,wa,United States,light,180.0,3 minutes,10/31/2008,47.6063889,-122.3308333,10/10/2008,20:00
pueblo,co,United States,light,300.0,5 minutes,10/31/2008,38.2544444,-104.6086111,10/10/2008,20:40
cincinnati,oh,United States,oval,900.0,15 minutes,10/31/2008,39.1619444,-84.4569444,10/10/2008,21:30
san diego,ca,United States,disk,30.0,30 seconds,10/31/2008,32.7152778,-117.1563889,10/10/2008,22:00
madison,wi,United States,circle,20.0,20 secounds,10/31/2008,43.0730556,-89.4011111,10/10/2008,22:30
coldwater,oh,United States,sphere,60.0,1 minute,10/31/2008,40.4797222,-84.6283333,10/10/2008,23:15
crested butte,co,United States,egg,60.0,1min,12/12/2009,38.8697222,-106.9872222,10/10/2009,12:00
tulsa,ok,United States,unknown,6.0,6 seconds,12/12/2009,36.1538889,-95.9925,10/10/2009,12:42
eagar,az,United States,unknown,180.0,2-3 minutes,12/12/2011,34.1111111,-109.2908333,10/10/2009,16:24
suffolk,va,United States,unknown,900.0,15 minutes,12/12/2009,36.7280556,-76.5838889,10/10/2009,19:30
anaheim,ca,United States,light,300.0,5 mins,12/12/2009,33.8352778,-117.9136111,10/10/2009,20:30
wilmington,nc,United States,light,600.0,10minutes,12/12/2009,34.2255556,-77.945,10/10/2009,20:45
leesburg,va,United States,disk,300.0,less than 5 minutes,11/21/2010,39.1155556,-77.5638889,10/10/2009,21:00
michigan city,in,United States,changing,900.0,15 minutes,12/12/2009,41.7075,-86.895,10/10/2009,23:00
cupertino,ca,United States,light,180.0,3 minutes,12/12/2009,37.3230556,-122.0311111,10/10/2009,23:23
orchard park,ny,United States,light,7200.0,a few hours,1/5/2011,42.7675,-78.7441667,10/10/2010,01:00
harrisburg,pa,United States,circle,240.0,4  minutes,11/21/2010,40.2736111,-76.8847222,10/10/2010,02:30
euclid,oh,United States,circle,180.0,3 minutes,11/21/2010,41.5930556,-81.5269444,10/10/2010,03:00
starr,sc,United States,formation,600.0,5-10 mins,11/21/2010,34.3769444,-82.6958333,10/10/2010,08:30
greenwich,ct,United States,light,240.0,4 mins,11/21/2010,41.0263889,-73.6288889,10/10/2010,12:00
north charleston,sc,United States,light,180.0,3 minutes,7/4/2012,32.8544444,-79.975,10/10/2010,13:00
san francisco airport,ca,United States,triangle,300.0,5 min.,9/30/2013,37.615223,-122.389979,10/10/2010,15:00
springfield,va,United States,cigar,15.0,15 secs,11/21/2010,38.7891667,-77.1875,10/10/2010,16:30
bridgeport,ct,United States,light,600.0,five to ten minutes,11/21/2010,41.1669444,-73.2052778,10/10/2010,17:10
clackamas,or,United States,triangle,120.0,1-2minutes,11/21/2010,45.4077778,-122.5691667,10/10/2010,18:30
san angelo,tx,United States,oval,60.0,1 minute,11/21/2010,31.4636111,-100.4366667,10/10/2010,20:00
windsor,ct,United States,fireball,5.0,5 seconds,5/2/2014,41.8525,-72.6441667,10/10/2010,20:20
sterling,il,United States,cylinder,600.0,10min,11/21/2010,41.7886111,-89.6961111,10/10/2010,20:45
everett,wa,United States,other,30.0,30 seconds,11/21/2010,47.9791667,-122.2008333,10/10/2010,21:00
kykotsmovi,az,United States,disk,7200.0,2 hours,1/31/2011,35.8752778,-110.6197222,10/10/2010,21:00
albany,ny,United States,circle,10.0,10 seconds,8/30/2013,42.6525,-73.7566667,10/10/2010,21:30
garden grove,ca,United States,egg,7200.0,2 hours,11/21/2010,33.7738889,-117.9405556,10/10/2010,22:30
miami,fl,United States,changing,1200.0,approx. 20 mins,11/21/2010,25.7738889,-80.1938889,10/10/2010,23:00
troy,ny,United States,triangle,7200.0,2 hours,10/10/2011,42.7283333,-73.6922222,10/10/2011,00:00
farmington,nm,United States,circle,300.0,5 minutes,8/30/2013,36.7280556,-108.2180556,10/10/2011,01:00
